,Review_title,Review_text,Ratings
1999,Mind-blowing purchase,"It's a Great Laptop. Trust me.... You can play Maximum games in Ultra settings. No need to worry about.... Frame drop.... You'll get 60+FPS. And the Nitro feature is just mind blowing..... Just being able to control your fans and rgb lights is really awesome.

Just what you expect from a gaming laptop.
Well.... If ur up for it. Then don't think twice.... Just buy it.
Hope you all have a great time with it.

Happy Gaming... 😈😈",5
2000,Best in the market!,Brought this laptop after fair bit of research. Arguably the best performance per money in the market. I am impressed with the build quality as well. Thermal management is improved from previous generation. Highly recommended.,5
2001,Wonderful,"Lap is tooo good as expected.
Battery life is good and charging time will be more as this is good for gaming laptop.
Gta v COD Fortnite Cyberpunk 2077 I played these games in this lap performance is super no lag constant 60fps with 2k resolution
Lap body catches fingerprint over it easily so you need to rub it with cloth
Such a good heat dissipation they made in this lap
Some speed lag you may see if you used a pure ssd lap when launching the apps but not bad only a milli second delay",5
2002,Awesome,"This is an amazing laptop ,blazing fast performance great build quality
Specially flipkart sended 100%original product

Pros
1. amazing display
2. Performance hexa core better then intel i5 10th gen
3. RGB BACK LIT keyboard
4. Thermals don't get high fans really keep then comtrolled
5. Battery backup easily around 7-9 hours under normal usage
6. Built quality is very good

Cons
Didn't found any
Some people on Flipkart review says that it didn't turn on its fake and all thats all false don'...
READ MORE",5
2003,Super!,Best laptop under the budget. At first I was confused because I was buying the first expansive thing from Flipkart and I couldn't wait to get my laptop. Thanks to the seller I got it 1 day early and the packing was nice laptop was fine and worked well.. I'm giving it 5 out of 5 ❤️,5
2004,Best in the market!,Great product at great prices and i got at great price so it is value for money product at 62K it can handle all my heavy task and gives me a decent battery life when i used it in power saving mode and the main thing i liked about this product is that it gives me control of fan speed battery performance everything it is great product at this price point,5
2005,Brilliant,A great product from Acer....... Build Quality is just amazing....... RGB is great And Such a powerful device...... There is no other Laptop competing this in this Price range. It is the best....... Go for it....👌👌,5
2006,Great product,"A great gaming laptop at this price range...
A must buy laptop for 60k during sale don't miss it. There is no comparison for other laptops at this price. The powerful ryzen 5 4600h with its gtx 1650 gives ultimate performance. The cool boost technology keeps the laptop cool and does not raise above 70°C. Overall it's a good gaming laptop for beginners and a masterpiece for users other than gaming.",5
2007,Fabulous!,"This is an amazing laptop with enough vents for a proper air ventilation that helps in preventing the laptop from heating.

The biggest disadvantage of this laptop is its speakers. The inbuilt speakers are not loud enough even at the highest volume. A good external speaker or a home theater, however, would offer promising sound effects when integrated with the DTS surround sound system present in the laptop.

The looks and performance of Acer Nitro 5 is outstanding. I've had smooth gaming exp...
READ MORE",5
2008,Wonderful,"It is absolutely a beast. The ryzen processor is very fast and handles all the tasks smoothly. The nvidia graphics is very good. The sound quality is above average and you get clear audio. The four zone RGB backlit keyboard is super pretty and looks amazing in the dark. The full hd screen is anti glare and has zero screen bleeding. Also, no heating problem so far.",5
2009,Simply awesome,"Perfect package for the budget

If you are using for gaming and office use this is the best option you can get.

60hz panel is good since the fps won't get 100+ in 1650 so 144hz is more or less a marketing gimmick.

Ryzen 5 variant is more powerful than i5 11th gen.

For initial use 8 GB ram is enough even if you are planning to play games like doom eternal it can give you decent 60 fps at combination of high and ultra settings.


Overall product is good but flipkart services are pathetic...
READ MORE",5
2010,Brilliant,"Performance is really good
4600H is real beast
1650 is good for 60 Hz display
SSD make this beast lighting fast
Boot under 10 seconds
No hang , no lag , no error
.........
Best thing is
it's hdd is 7200 RPM which gives space with speed
.........
No heating issue
below 45°C ( normal task) ( Fans on Auto Mode)
Max 81°C when render 3D animation project ( Fan auto mode )
Below 70°C when render 3d project ( Fan Max mode)
Best cooling system
If you play AAA titles games like CODMW, GTA5 ,...
READ MORE",5
2011,Fabulous!,"First of all the packaging was really good.
This is probably the best value for money laptop that you can find around 60k.
The performance and thermals are really good.
The design and built is very stylish and sturdy.
You can get around 100fps in gta 5 with high settings
Some things you should know before purchasing this laptop is :
1)This doesn't get a pre installed MS Office (installing it is not a big task)
2)This is 60hz screen(anyway it doesn't matter for beginners)
3)You can expect batt...
READ MORE",5
2012,Classy product,Best laptop under 65k by it if your a rgb lover osm look and good product thank you acer and flipkart,5
2013,Amazing Product,"Excellent Product. Worth It's price, if you are considering a laptop similar to this price range consider this amazing Acer product and it's worth a try.
It's almost 2 months since i bought this one and i have'nt faced any issue yet.",5
2014,Bad quality,"Valorant on low settings gives you like 80-110 fps and that's it. Valorant is such a low end game and a even a high end product like this can't give a stable 100+fps. I'm so disappointed. Waste of money, could've gotten a better one.",2
2015,Terrific purchase,"Incredible buy , Got it for 49k at flipkart, must say this is a beast in mid range gaming performance, the added nitrosense feature to this product gives a huge ergonomic boost, The only con I would say is that it is not as loud as my previous hp pavilion G6 , Decent sound level is provided, rest everything is smooth and the 144 hz display makes gaming as well as surfing a buttery smooth experience..!",5
2016,Fair,"Its only a beginner gaming laptop. I again saying that its just a beginner because it has more heating issue. It have two fans and it will work. But i dont know the heating is not lowing. And the fan speed is like switch onning the mixy. I saw the asus rog lap and it doesn't have issue. Its keyboard is not good. After using of one week, letter like 'u' is not working properly. I wiil recommend asus tuf. I think it doesn't have problems like this. I didn't like the heating issue. If i just sta...
READ MORE",3
2017,Good choice,"Actually 5 stars for the product, but the taking off one star because the experience faced by Flipkart's Ekart logistics. They cancelled my order making me wait an entire week. Then wanted me to order it again. But the customer support is great. Ekart may sink flipkart.

About the product, The packing was superb. Ryzen 5 is a beast. The thermals are very effective and keeps the system cool. Good design and build quality.

Speakers are not that much loud but ok, average battery backup. RGB is...
READ MORE",4
2018,Super!,Very nice build and performance you can see,5
2019,Wonderful,Really great laptop with this price. Value for money. RGB keyboard is great,5
2020,Best in the market!,"Everything is excellent except its camera, although camera is not first preference but still if a customer is spending this much money then customer should not get disappointed with such small things, comapny should take care of this. Everything is excellent in this price range, buil quality is also good, value for money product. If your budget is around 65-70 you must go for this product.",5
2021,Mind-blowing purchase,Value for money. Before time delivery by ecart,5
2022,Very Good,Perfect for low budget gamers ...and also Nvidia & amd processor combination is more suitable...best for programing also...if you want more speed upgrade the ram to 16 gb ....it will give more & more processing on high end games without lag,4
2023,Good quality product,Kind of worth for the price tag...,4
2024,Wonderful,"Excellent....

Battery _5/5
Performance _5/5
Look_4/5

Disadvantages:
Refresh rate
Weight",4
2025,Perfect product!,Thanks to the seller for before time delivery. This just value for money. Excellent performance without heat up.,5
2026,Worth every penny,Nice product,5
2027,Perfect product!,"It was a nice laptop u should prefer it
You should buy it now because the price of this laptop will rise in some days",5
2028,Wonderful,Rgb is love❤,4
2029,Wonderful,What a powerful machine 😍✌ Go for It. Value for money.,5
2030,Great product,Very good product,5
2031,Value-for-money,"First time review- Good
Will update soon",4
2032,Simply awesome,"The best laptop then asus rog I think so go for it
Don't think much",5
2033,Awesome,"First of all excellent delivery by flipkart in just 24 hrs, I got the laptop just next day of my booking. However, it doesn't contain a laptop bag.

This review is upon unboxing and single day use only.

Build quality is good.
Lapton runs smooth
Design is nice
Battery once charged is available for almost 4 hours despite multitasking, videos and game being played simultaneously.
Speakers are not that loud, it could have been better.
No lags or voice noticed.

In this price its value for money.",5
2034,Classy product,"After 3 months of research I ordered it.

Ratings based on my 2 months of experience .

Performance - 5
DISPLAY. - 5
CAMERA. - 3
KEYBOARD. - 5
BATTERY. - 3
TOUCH PAD. - 5
SPEAKER. -5
BUILT QUALITY. - 4",5
2035,Terrible product,"Very bad laptop , i am returning it , hanging issues , defective motherboard",1
2036,Good,"usb port (right side) remain power after shut down..
( I change some windows settings suggest by YouTube . but still power come from usb after shut down)
Pro..
Its multi colour keyboard u can change any colour through easy settings

Update: usb with battery symbol mean always power on. U cant turn off that... Acer said",3
2037,Wonderful,2 month review everything is good at the price point at which it come. The minor thing is HDD is bit noisy. So when sitting in quite room you can get bit distracted.,4
2038,Nice product,"vera level gaming laptop.....
laptop keyboard is so smooth...
and long lasting......
RGB keyboard is glorious....
so much extra features.........",4
2039,Worth every penny,Great Performance in budget😊😊,5
2040,Simply awesome,"Nice one...sound quality is bit compromising but the product is overall good in this price range.

Happy with it.",5
2041,Terrific purchase,"I did write every single pros and cons but they didn't post it (Moderation Failed), I tried everything, Nothing happened, so I gave up..Overall It's a great laptop",5
2042,Excellent,"Best AMD At this rate !
Its just awesome.",5
2043,Wonderful,Best In Range,5
2044,Worth every penny,Amazing Laptop. Love it,5
2045,Wonderful,"Laptop has good performance
Good Battery backup
Good Display
Sufficient RAM and Speed for gaming and completing my office work with no lags.",4
2046,Just wow!,"Laptop meets all the needs including high gaming, also the extended warranty can be availed at cheap cost directly from acer website (700 at present).
One will not regret instead will be grateful to acer for such a great product at such a price.",5
2047,Really Nice,"Highly recommended ,
Performance -5/5
Battery-5/5
Display-4/5
Camera-2/5
Design-4/5
Value for money-5/5",4
2048,Highly recommended,Very nice go for it,5
2049,Terrific,"Budget friendly product in this category. Apllications like Lumion 8,civil 3d running smoothly. UHD image rendering in vray takes only 10 -15 minutes. Battery backup is only 2_3 hrs while performing heavy applications.",5
2050,Awesome,Best in budget 🤘I'm playing GTA v on high setting it's awesome... But for working u have to buy Microsoft Office..,5
2051,Mind-blowing purchase,Good performance .worth for rate,5
2052,Good quality product,"The laptop is very good but this is second best in this range. If you add 3-4k more you can buy Lenovo legion 5 which is beast in this range, it costs 67-68K.
One more thing, rpm given in the specs is 7200 but when I checked it is showing 5400rpm.",4
2053,Excellent,Amazing,5
2054,Decent product,"Vertical line in display ......just in 1 month
Not even heavy use age ...... worst",3
2055,Terrific purchase,Amazing laptop,5
2056,Really Nice,Good product 👍,4
2057,Pretty good,Good,4
2058,Really Nice,"Good one.
8 to 10sec boot speed
Battery normal light uses 5hrs aprox
Fast charing
Speakers awesome",4
2059,Just wow!,Nice,5
2060,Great product,"Performance good, very nice product, and marvelous",5
2061,Simply awesome,Best laptop ever under 60k. Value for money,5
2062,Just wow!,I love this laptop best price,5
2063,Excellent,"Value for money, osm 4 zone rgb keyboard
Good battery life of around 6, 7 hrs",5
2064,Wonderful,Works good...go for it !,4
2065,Highly recommended,Indeed good choice....Must Buy❤️,5
2066,Not good,In the first month of my purchase there is a sound cracking problem and also mic is not working properly and battery performance is not good suddenly it drops down.,2
2067,Worth the money,Just woow.. Amazing😍🤩 battery life is also good if u off the Keyboard light.🥰,4
2068,Classy product,Got this in big billions days.. Thank you Flipkart... Purchased for my friend ❣️,5
2069,Great product,Fabulous laptop,5
2070,Not good,"Dissapointed.
The laptop turns out to be dead.
Had to go all through problems of replacement and technician visit and what not. It's just sad to get something dead after being so excited about it.
I don't think I can trust flipkart anymore :(
Better to buy offline or some other site.",2
2071,Excellent,"Value for money, if your budget is about 70k go for it.",5
2072,Fabulous!,The beast laptop has arrived 😉,5
2073,Perfect product!,A beast at it's range... performs like a stunner... you can definitely go for it!,5
2074,Simply awesome,"best gaming laptop under 70 prize ,highly recommend",5
2075,Just wow!,Very good prdct,5
2076,Terrific purchase,Amazing product,5
2077,Excellent,Very good gaming pc…actually its very good for autocad also…its running very smoothly..,5
2078,Terrific,This gaming laptop is tooooooooo Good But Their is only one issue that is low sound,5
2079,Does the job,"Good product
Value for money",3
2080,Unsatisfactory,So bad product.. J Don't knew if it is only problem in my lap.. But I got 4 issues within 1 month of purchase.. Plz Don't buy,1
2081,Wonderful,Amazing and good looking,4
2082,Good,"Good thermals, played first-person shooter games in full graphics smoothly. The colors are not accurate, but fine. Been using it for two months and have no issues yet. The plastic body would curve on pressure, so use carefully.
From day 1, there were glitches when certain videos or gifs are played using hardware acceleration, so I had to turn hardware acceleration off. This is likely an Nvidia driver bug.",5
2083,Worthless,"1. Guys these people won't provide the original acer charger which is Highly disappointing.
2. Build quality is very poor from Acer.
You have to use it as desktop, I mean to say you can't use roughly like other branded laptops.
3. Display quality is not good. Ex. Mi vs OnePlus
4. Sound : Don't keep much expectations.
5. Battery: Yo so far it's good

Make sure you are returning within the mentioned date or else no one comes to help.",1
2084,Best in the market!,Great product at great prices and i got at great price so it is value for money product at 62K it can handle all my heavy task and gives me a decent battery life when i used it in power saving mode and the main thing i liked about this product is that it gives me control of fan speed battery performance everything it is great product at this price point,5
2085,Brilliant,A great product from Acer....... Build Quality is just amazing....... RGB is great And Such a powerful device...... There is no other Laptop competing this in this Price range. It is the best....... Go for it....👌👌,5
2086,Great product,"A great gaming laptop at this price range...
A must buy laptop for 60k during sale don't miss it. There is no comparison for other laptops at this price. The powerful ryzen 5 4600h with its gtx 1650 gives ultimate performance. The cool boost technology keeps the laptop cool and does not raise above 70°C. Overall it's a good gaming laptop for beginners and a masterpiece for users other than gaming.",5
2087,Fabulous!,"This is an amazing laptop with enough vents for a proper air ventilation that helps in preventing the laptop from heating.

The biggest disadvantage of this laptop is its speakers. The inbuilt speakers are not loud enough even at the highest volume. A good external speaker or a home theater, however, would offer promising sound effects when integrated with the DTS surround sound system present in the laptop.

The looks and performance of Acer Nitro 5 is outstanding. I've had smooth gaming exp...
READ MORE",5
2088,Wonderful,"It is absolutely a beast. The ryzen processor is very fast and handles all the tasks smoothly. The nvidia graphics is very good. The sound quality is above average and you get clear audio. The four zone RGB backlit keyboard is super pretty and looks amazing in the dark. The full hd screen is anti glare and has zero screen bleeding. Also, no heating problem so far.",5
2089,Simply awesome,"Perfect package for the budget

If you are using for gaming and office use this is the best option you can get.

60hz panel is good since the fps won't get 100+ in 1650 so 144hz is more or less a marketing gimmick.

Ryzen 5 variant is more powerful than i5 11th gen.

For initial use 8 GB ram is enough even if you are planning to play games like doom eternal it can give you decent 60 fps at combination of high and ultra settings.


Overall product is good but flipkart services are pathetic...
READ MORE",5
2090,Brilliant,"Performance is really good
4600H is real beast
1650 is good for 60 Hz display
SSD make this beast lighting fast
Boot under 10 seconds
No hang , no lag , no error
.........
Best thing is
it's hdd is 7200 RPM which gives space with speed
.........
No heating issue
below 45°C ( normal task) ( Fans on Auto Mode)
Max 81°C when render 3D animation project ( Fan auto mode )
Below 70°C when render 3d project ( Fan Max mode)
Best cooling system
If you play AAA titles games like CODMW, GTA5 ,...
READ MORE",5
2091,Fabulous!,"First of all the packaging was really good.
This is probably the best value for money laptop that you can find around 60k.
The performance and thermals are really good.
The design and built is very stylish and sturdy.
You can get around 100fps in gta 5 with high settings
Some things you should know before purchasing this laptop is :
1)This doesn't get a pre installed MS Office (installing it is not a big task)
2)This is 60hz screen(anyway it doesn't matter for beginners)
3)You can expect batt...
READ MORE",5
2092,Classy product,Best laptop under 65k by it if your a rgb lover osm look and good product thank you acer and flipkart,5
2093,Amazing Product,"Excellent Product. Worth It's price, if you are considering a laptop similar to this price range consider this amazing Acer product and it's worth a try.
It's almost 2 months since i bought this one and i have'nt faced any issue yet.",5
2094,Just wow!,"Best product for those who loves cute laptop
Very smooth performance
Best sound quality
Built quality 10/10
it takes below 2 hours for full charge. And lasts for 20 hours for normal use",5
2095,Fabulous!,"One of the best laptops that i've used till date!

I am a software developer and runs 4-5 tabs in Intellij idea and lots of tabs in chrome.!! Also runs other development related applications like android studio and postman.

This beast handles everything smoothly!. I never had any performance related issues even if i continuously run the above mentioned softwares for hours.
Above all, it provides a backup of more than 2 days. Even if worked intensely, it stays awake for 2 days.",5
2096,Brilliant,"Better than my Macbook pro 16 inch which is intel i9 processor.
ML model works like charm. Love it.",5
2097,Brilliant,"Reliable and efficient product from Apple. bought an apple product for the first time from flipkart. Delivered in perfect condition and within promised time.

Build quality is 10/10
audio quality is 9/10
Display - 10/10
Overall 10/10",5
2098,Just wow!,Super product with M1 chip super fast I am super impressed with product,5
2099,Best in the market!,"Apple macbook pro with brand new M1 chip is smooth,efficient and might be the best laptop for office,educational,editing and programming purposes if you do have the money.you can get many other laps with ×100 more specifications compared to this mac at this se price.but none of them will promise you the quality and the premium perfomance like mac.also the new M1 chip is such a revolutionary thing for entire Apple Mac as it removed all the third party elements from the apple system.i highly re...
READ MORE",5
2100,Nice product,"I do owe a lot of apple products, but I recently upgraded from windows pc to mac os as this was the only product that was left for me to connect myself with so call apple ecosystem, everything is seamlessly integrated, easy to use now coming to MacBook Pro it's awesome for everything except gaming and port situation, apart from these everything is fine, performance-wise great, the new M1 chip is on another level of work. All in all, a solid product in this price range one can go for it if yo...
READ MORE",5
2101,Value-for-money,"Awesome laptop. It's superfast, the build quality is remarkable. One of the finest product of apple.",4
2102,Must buy!,Best laptop apple has ever made,5
2103,Not good,"Overall performance is very good.... But i got a faulty laptop with delete key not working!!!
They are asking me to go to apple care which is 200kms away from my home.... Doesn't makes sense!
After paying 1.2 lakhs i get a faulty ine and again i have to pay for traveling in this lockdown to get it fixed!!!!!",2
2104,Just wow!,"Best product for those who loves cute laptop
Very smooth performance
Best sound quality
Built quality 10/10
it takes below 2 hours for full charge. And lasts for 20 hours for normal use",5
2105,Fabulous!,"One of the best laptops that i've used till date!

I am a software developer and runs 4-5 tabs in Intellij idea and lots of tabs in chrome.!! Also runs other development related applications like android studio and postman.

This beast handles everything smoothly!. I never had any performance related issues even if i continuously run the above mentioned softwares for hours.
Above all, it provides a backup of more than 2 days. Even if worked intensely, it stays awake for 2 days.",5
2106,Brilliant,"Better than my Macbook pro 16 inch which is intel i9 processor.
ML model works like charm. Love it.",5
2107,Brilliant,"Reliable and efficient product from Apple. bought an apple product for the first time from flipkart. Delivered in perfect condition and within promised time.

Build quality is 10/10
audio quality is 9/10
Display - 10/10
Overall 10/10",5
2108,Just wow!,Super product with M1 chip super fast I am super impressed with product,5
2109,Best in the market!,"Apple macbook pro with brand new M1 chip is smooth,efficient and might be the best laptop for office,educational,editing and programming purposes if you do have the money.you can get many other laps with ×100 more specifications compared to this mac at this se price.but none of them will promise you the quality and the premium perfomance like mac.also the new M1 chip is such a revolutionary thing for entire Apple Mac as it removed all the third party elements from the apple system.i highly re...
READ MORE",5
2110,Nice product,"I do owe a lot of apple products, but I recently upgraded from windows pc to mac os as this was the only product that was left for me to connect myself with so call apple ecosystem, everything is seamlessly integrated, easy to use now coming to MacBook Pro it's awesome for everything except gaming and port situation, apart from these everything is fine, performance-wise great, the new M1 chip is on another level of work. All in all, a solid product in this price range one can go for it if yo...
READ MORE",5
2111,Value-for-money,"Awesome laptop. It's superfast, the build quality is remarkable. One of the finest product of apple.",4
2112,Must buy!,Best laptop apple has ever made,5
2113,Not good,"Overall performance is very good.... But i got a faulty laptop with delete key not working!!!
They are asking me to go to apple care which is 200kms away from my home.... Doesn't makes sense!
After paying 1.2 lakhs i get a faulty ine and again i have to pay for traveling in this lockdown to get it fixed!!!!!",2
2114,Terrific,Good product,5
2115,Mind-blowing purchase,"Superb premium feeling device with Rocket processor ""M1"". Auur kya chahiyehh👌😌. All are genuine brand new checked from Apple customer support. Thanks flipkart",5
2116,Best in the market!,Nothing to complain about. This machine is an absolute beast,5
2117,Must buy!,"Awesome product by apple
Becoz of M1 chip is new therefore lot of thing has to come yet other than that i just loved it.",5
2118,Classy product,Awesome 💯,5
2119,Simply awesome,Beautifully crafted..Everybody's favourite..Dream machine for me.,5
2120,Awesome,"Battery Life is just awesome on this device due to the M1 chip being so extra efficient.
The Pro is just blazing fast without any lag whatsoever even if one is doing heavy multitasking on it.

MUST BUY!",5
2121,Wonderful,"Three words define this beast - All Systems Pro!!
A lethal combination of Power and Performance. Go for it, without a doubt. It will never disappoint anyone from a beginner to a professional. It is Apple’s all in one answer for all their Macbook heating and battery draining issues. All thanks to the M1 sitting at it’s heart. Don’t ever pick any intel Macs over this!
It is a pure pleasure and a must buy for sure!!",5
2122,Just wow!,Virtual box or VMware software not running on m1 chip.so if you need that software then this is not best choice else everything is good .M1 is new processor so other software will take some time to build for M1,5
2123,Simply awesome,"I got this MacBook as WOW! but i never recommend to buy through Flipkart, there delivery is not believable. I think i was stuck but finally i got this Product. Happy.",5
2124,Terrific purchase,"It’s great device considering iPhone 12 Pro price. Really future proof laptop for foreseen future.
Suggestion: Go for MacBook Pro M1 with 512GB storage",5
2125,Great product,"With Apple M1 processors, the latest MacBook Pro has further widen its lead as industry best laptops. The competitors will have an even harder time playing catch-up this time.",5
2126,Awesome,"M1 is powerful and fast
Runs cool and quiet
Apps just work
Long-lasting battery life
Strong audio for a laptop.",5
2127,Best in the market!,Superb product but only we can’t install some software like windows,5
2128,Great product,Overall design and performance looks good.,5
2129,Wonderful,I used it for a week and it's a nice investment. Have no issues with it.,5
2130,Terrific,Awesome product. Trustworthy seller. Complete value for money.,5
2131,Terrific,Very good product !!!Thanks for the Filpkart for the genuine product…….,5
2132,Worth every penny,Awesome laptop never before 😘😘😘✌️,5
2133,Great product,Loved it.. thank you Flipkart,5
2134,Mind-blowing purchase,Nice,5
2135,Awesome,Great Product,5
2136,Must buy!,This is a beast and the performance of this laptop is amazing,5
2137,Worth every penny,I already i have Macbook Air 2017.Comparing intel chip with M1 its absolutely wonderful. Xcode performance is very nice in M1.battery performance while using xcode 9 to 10 hour backup. I didn't check android studio performance in M1. I really love the M1 performance.,5
2138,Simply awesome,Premium feel!,5
2139,Must buy!,Nice product 👍,5
2140,Best in the market!,"Even though laptop is awesome..
Delete key not working..",5
2141,Classy product,Rear Apple Logo is not glowing in this model.,5
2142,Super!,Amazing perf. Got in a very good deal!,5
2143,Worth every penny,"Very Good product. Always like Apple product, good in M1 chip",5
2144,Super!,Best product at excellent price,5
2145,Brilliant,awesome,5
2146,Mind-blowing purchase,Fantastic 😊,5
2147,Just wow!,It’s really awesome indeed .,5
2148,Excellent,Supppper Laptop,5
2149,Classy product,Mac Os it sufficient to say its an beast,5
2150,Best in the market!,Great product but in starting it seems little slow but after that works great,5
2151,Value-for-money,Apple MacBook is great. Just don't buy apple care from Flipkart. It won't process immediately and flipkart is not able to deliver on promise. Better to buy apple care directly from Apple.,4
2152,Terrific purchase,The best laptop one can buy.It has everything a user can expect.,5
2153,Excellent,awesome 🤩,5
2154,Fabulous!,Nice product,5
2155,Delightful,Good Product,4
2156,Best in the market!,Excellent,5
2157,Super!,Ultimate User experience and track pad experience very smooth and effectively......but one thing all apps can't support,5
2158,Must buy!,Great packaging and delivered on time. Thank you Flipkart 😊,5
2159,Super!,Excellent product,5
2160,Wonderful,Loved it,5
2161,Just Awesome !!,Above Expectations...Super quality product !!,5
2162,Super!,Good laptop,5
2163,Excellent,Awesome performance,5
2164,Must buy!,"I love MacBook pro m1, perfect choice. Just they need to make compatible non m1 app.",5
2165,Terrific purchase,As expected very good product.,5
2166,Wonderful,"Good battery life , superb display",5
2167,Excellent,Go for it. Best laptop for SDE.,5
2168,Super!,Best machine for everything,5
2169,Super!,"Unbelievable Product
Just wonderful",5
2170,Terrific,Good product,5
2171,Mind-blowing purchase,"Superb premium feeling device with Rocket processor ""M1"". Auur kya chahiyehh👌😌. All are genuine brand new checked from Apple customer support. Thanks flipkart",5
2172,Best in the market!,Nothing to complain about. This machine is an absolute beast,5
2173,Must buy!,"Awesome product by apple
Becoz of M1 chip is new therefore lot of thing has to come yet other than that i just loved it.",5
2174,Classy product,Awesome 💯,5
2175,Simply awesome,Beautifully crafted..Everybody's favourite..Dream machine for me.,5
2176,Awesome,"Battery Life is just awesome on this device due to the M1 chip being so extra efficient.
The Pro is just blazing fast without any lag whatsoever even if one is doing heavy multitasking on it.

MUST BUY!",5
2177,Wonderful,"Three words define this beast - All Systems Pro!!
A lethal combination of Power and Performance. Go for it, without a doubt. It will never disappoint anyone from a beginner to a professional. It is Apple’s all in one answer for all their Macbook heating and battery draining issues. All thanks to the M1 sitting at it’s heart. Don’t ever pick any intel Macs over this!
It is a pure pleasure and a must buy for sure!!",5
2178,Just wow!,Virtual box or VMware software not running on m1 chip.so if you need that software then this is not best choice else everything is good .M1 is new processor so other software will take some time to build for M1,5
2179,Simply awesome,"I got this MacBook as WOW! but i never recommend to buy through Flipkart, there delivery is not believable. I think i was stuck but finally i got this Product. Happy.",5
2180,Awesome,"One of the best Laptop in this range. It is best in every types of uses.
Gaming performance is awesome 😎❤️❤️
Perfect product and is Valuable for money.",5
2181,Wonderful,"It is working like a beast but battery is some what low
But performance is good u can definitely go for it because it is budget friendly gaming laptop.",4
2182,Terrific,"Writing this review after 2 weeks of usage

Display : Coming to display it has 144Hz refresh rate and the display is good and excellent.

Thermal performance: The thermal performance of this laptop is quite good and for normal use it does not exceed 55 degrees and the fan noise is also very low.

Battery : So in this laptop battery is quite low but we can expect the battery performance in gaming laptop it's good.at normal usage I got a backup of 6 hrs in power saving mode and while casual gam...
READ MORE",5
2183,Review after excessive use of 7 days.,"No cost EMI option is a plus point given by Fllipkart on a latest product like this.
Flipkart delivered this laptop 2 days late which is really disappointing.
Asus stickers not received in this package.

Display 5/5
Battery 3.5/5 I know it is a gaming laptop and have a lot of peripherals installed with latest tech upgrades but still batter could have been better.
Booting Speed 5/5
Keypad 5/5 It is the best keypad they installed in this series.
Keypad Light 5/5 It is RGB you can customize th...
READ MORE",4
2184,Simply awesome,"Got this for 61k. Great value for money. Best infact at this price point. Battery 6-7 hours on idle or low usage(brightness 50%, silent mode).
Performance is exceptional.
Tried 5 games(days gone-75-90fps, max temp 78c/88c)
Control, gta v, rdr2, forza horizon 4. All games played at high settings. Control on ultra. N valorant on ultra.
Played continuously for 6 hours but have to put laptop on charge while playing. Which is normal for gaming laptops.
RGB keyboard is nice, but I wish the breathe...
READ MORE",5
2185,Fabulous!,"Its a Value for money laptop here is what i have found:

1-> Intel Cpu is surely better than 4600h in terms of gaming, hence you see more fps but if you are buying for video editing etc go for 4600h as it is better because of more cores.

2-> because of i5 you get full utilization of 1650 gpu, there is no bottlenecking of any kind.

3-> Temps while gaming go above 90 degrees easily, but even in those temps i could not find any thermal throttling.

4-> To keep temps down you can easily use thr...
READ MORE",5
2186,Really Nice,"This product is awesome in the price it is available.....but the main concern is its battery backup it's only 4 to 5 hours with causal use..but we can increase its backup with the asus custom software according to model.....I really love this product....it's good for productivity and gaming totally awesome
If you guys have a higher budget go with the ryzen one is way more interesting in everything........",4
2187,Mind-blowing purchase,"I written this review after 15-20 days using continuously. After doing many research on laptop finally I got this beast🔥🔥 this best laptop in this price range. It is better for coding normal usage battery backup of this laptop is 5-6 hours, when using this laptop at turbo mode it gives 3 hrs battery backup,
RGB Keyboard is Great😍
Boot time 3-5 sec
Overall this is best laptop it's all rounder laptop. Definitely you should go with this beast. Battery fully charged in 1hr",5
2188,Excellent,Best laptop but battery life not good I am using this laptop from 2 months performance of the laptop is so good it working perfectly,5
2189,Excellent,"I Got this TUF in 22nd August 2021.after 1 week of usage its simply amazing and beautiful. Its suitable for all of office works and games .Fastest charging battery backup upto 4 hrs for normal task. Flipkart delivery is very fast, laptop was delivered within one day from my order date. So highly recommend its really worth for your money i assured that, if you will get you will never disappointed. 🙂🙂🙂",5
2190,Awesome,"One of the best Laptop in this range. It is best in every types of uses.
Gaming performance is awesome 😎❤️❤️
Perfect product and is Valuable for money.",5
2191,Wonderful,"It is working like a beast but battery is some what low
But performance is good u can definitely go for it because it is budget friendly gaming laptop.",4
2192,Terrific,"Writing this review after 2 weeks of usage

Display : Coming to display it has 144Hz refresh rate and the display is good and excellent.

Thermal performance: The thermal performance of this laptop is quite good and for normal use it does not exceed 55 degrees and the fan noise is also very low.

Battery : So in this laptop battery is quite low but we can expect the battery performance in gaming laptop it's good.at normal usage I got a backup of 6 hrs in power saving mode and while casual gam...
READ MORE",5
2193,Review after excessive use of 7 days.,"No cost EMI option is a plus point given by Fllipkart on a latest product like this.
Flipkart delivered this laptop 2 days late which is really disappointing.
Asus stickers not received in this package.

Display 5/5
Battery 3.5/5 I know it is a gaming laptop and have a lot of peripherals installed with latest tech upgrades but still batter could have been better.
Booting Speed 5/5
Keypad 5/5 It is the best keypad they installed in this series.
Keypad Light 5/5 It is RGB you can customize th...
READ MORE",4
